identifier,taxon_of_interest,family,genus,species,Fragment,Scoloptoxin?
TR|A0A898IPL1|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IPM2|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IPM8|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IPN0|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IPN2|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IPN4|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IPN6|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IPP1|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IPP4|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
SP|A8HDJ7|Cryptophis_nigrescens,Elapidae,Elapidae,Cryptophis,Cryptophis nigrescens,full_seq (SP),
SP|A8HDJ8|Cryptophis_nigrescens,Elapidae,Elapidae,Cryptophis,Cryptophis nigrescens,full_seq (SP),
SP|A6MFK4|Demansia_vestigiata,Elapidae,Elapidae,Demansia,Demansia vestigiata,full_seq (SP),
SP|A6MFK5|Demansia_vestigiata,Elapidae,Elapidae,Demansia,Demansia vestigiata,full_seq (SP),
SP|A6MFK6|Demansia_vestigiata,Elapidae,Elapidae,Demansia,Demansia vestigiata,full_seq (SP),
SP|C0HJT4|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
SP|P01408|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
SP|P01409|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
SP|P01410|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
SP|P01411|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
SP|P81946|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
NCBI|Dendroaspis_angusticeps_GILR01002080|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
NCBI|Dendroaspis_angusticeps_GILR01002482|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
SP|C0HJB0|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
SP|P01404|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,full_seq (SP),
SP|P0C1Y9|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
SP|P0C1Z0|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
SP|P17696|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,full_seq (SP),
SP|P18328|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,full_seq (SP),
SP|P18329|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,full_seq (SP),
SP|P25684|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
SP|P60234|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
SP|P60237|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
SP|P81030|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
SP|P81031|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
SP|P85092|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
SP|P86419|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
SP|Q8QGR0|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,full_seq (SP),
SP|Q9PSN1|Dendroaspis_angusticeps,Elapidae,Elapidae,Dendroaspis,Dendroaspis angusticeps,mature_seq (NO_SP),
NCBI|DENJA_GHPA01001931.1_C348_130|Dendroaspis_jamesoni_jamesoni,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni jamesoni,mature_seq (NO_SP),
NCBI|Dendroaspis_jamesoni_jamesoni_GHPA01000962|Dendroaspis_jamesoni_jamesoni,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni jamesoni,mature_seq (NO_SP),
NCBI|DENJA_GHPA01003912.1_C199_11|Dendroaspis_jamesoni_jamesoni,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni jamesoni,mature_seq (NO_SP),
NCBI|DENJA_GHPA01000569.1_C862_620|Dendroaspis_jamesoni_jamesoni,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni jamesoni,mature_seq (NO_SP),
NCBI|DENJA_GHPA01001858.1_C359_156|Dendroaspis_jamesoni_jamesoni,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni jamesoni,mature_seq (NO_SP),
NCBI|DENJA_GHPA01002461.1_C321_136|Dendroaspis_jamesoni_jamesoni,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni jamesoni,mature_seq (NO_SP),
NCBI|DENJA_GHPA01003914.1_C250_53|Dendroaspis_jamesoni_jamesoni,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni jamesoni,mature_seq (NO_SP),
SP|P0DQP2|Dendroaspis_jamesoni_jamesoni,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni jamesoni,mature_seq (NO_SP),
NCBI|DENJA_GHPB01001397.1_C449_192|Dendroaspis_jamesoni_kaimosae,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni kaimosae,mature_seq (NO_SP),
SP|P01393|Dendroaspis_jamesoni_kaimosae,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni kaimosae,mature_seq (NO_SP),
SP|P01407|Dendroaspis_jamesoni_kaimosae,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni kaimosae,mature_seq (NO_SP),
SP|P01413|Dendroaspis_jamesoni_kaimosae,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni kaimosae,mature_seq (NO_SP),
SP|P28375|Dendroaspis_jamesoni_kaimosae,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni kaimosae,mature_seq (NO_SP),
SP|P25682|Dendroaspis_jamesoni_kaimosae,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni kaimosae,mature_seq (NO_SP),
NCBI|DENJA_GHPB01001432.1_C457_203|Dendroaspis_jamesoni_kaimosae,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni kaimosae,mature_seq (NO_SP),
NCBI|DENJA_GHPB01001482.1_C448_212|Dendroaspis_jamesoni_kaimosae,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni kaimosae,mature_seq (NO_SP),
NCBI|DENJA_GHPB01001485.1_C349_161|Dendroaspis_jamesoni_kaimosae,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni kaimosae,mature_seq (NO_SP),
NCBI|DENJA_GHPB01001718.1_C417_160|Dendroaspis_jamesoni_kaimosae,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni kaimosae,mature_seq (NO_SP),
SP|P01406|Dendroaspis_jamesoni_kaimosae,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni kaimosae,mature_seq (NO_SP),
SP|P01417|Dendroaspis_jamesoni_kaimosae,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni kaimosae,mature_seq (NO_SP),
SP|P01419|Dendroaspis_jamesoni_kaimosae,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni kaimosae,mature_seq (NO_SP),
SP|P25683|Dendroaspis_jamesoni_kaimosae,Elapidae,Elapidae,Dendroaspis,Dendroaspis jamesoni kaimosae,mature_seq (NO_SP),
None|Dendroaspis_polylepis_T2720|Dendroaspis_polylepis,Elapidae,Elapidae,Dendroaspis,Dendroaspis polylepis,mature_seq (NO_SP),
SP|C0HJD7|Dendroaspis_polylepis_polylepis,Elapidae,Elapidae,Dendroaspis,Dendroaspis polylepis polylepis,mature_seq (NO_SP),
SP|P01396|Dendroaspis_polylepis_polylepis,Elapidae,Elapidae,Dendroaspis,Dendroaspis polylepis polylepis,mature_seq (NO_SP),
SP|P01397|Dendroaspis_polylepis_polylepis,Elapidae,Elapidae,Dendroaspis,Dendroaspis polylepis polylepis,mature_seq (NO_SP),
SP|P25667|Dendroaspis_polylepis_polylepis,Elapidae,Elapidae,Dendroaspis,Dendroaspis polylepis polylepis,mature_seq (NO_SP),
SP|A0A4P1LYC9|Dendroaspis_polylepis_polylepis,Elapidae,Elapidae,Dendroaspis,Dendroaspis polylepis polylepis,mature_seq (NO_SP),
SP|P01414|Dendroaspis_polylepis_polylepis,Elapidae,Elapidae,Dendroaspis,Dendroaspis polylepis polylepis,mature_seq (NO_SP),
SP|P01416|Dendroaspis_polylepis_polylepis,Elapidae,Elapidae,Dendroaspis,Dendroaspis polylepis polylepis,mature_seq (NO_SP),
SP|P0DKR6|Dendroaspis_polylepis_polylepis,Elapidae,Elapidae,Dendroaspis,Dendroaspis polylepis polylepis,full_seq (SP),
SP|P0DKS3|Dendroaspis_polylepis_polylepis,Elapidae,Elapidae,Dendroaspis,Dendroaspis polylepis polylepis,mature_seq (NO_SP),
SP|P22947|Dendroaspis_polylepis_polylepis,Elapidae,Elapidae,Dendroaspis,Dendroaspis polylepis polylepis,mature_seq (NO_SP),
SP|P25518|Dendroaspis_polylepis_polylepis,Elapidae,Elapidae,Dendroaspis,Dendroaspis polylepis polylepis,mature_seq (NO_SP),
SP|P25681|Dendroaspis_polylepis_polylepis,Elapidae,Elapidae,Dendroaspis,Dendroaspis polylepis polylepis,mature_seq (NO_SP),
SP|P80494|Dendroaspis_polylepis_polylepis,Elapidae,Elapidae,Dendroaspis,Dendroaspis polylepis polylepis,mature_seq (NO_SP),
SP|P80495|Dendroaspis_polylepis_polylepis,Elapidae,Elapidae,Dendroaspis,Dendroaspis polylepis polylepis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01001205.1_C457_203|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01001404.1_C400_188|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
SP|P01394|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
SP|P01395|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01000299.1_C401_210|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01000454.1_C741_505|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01002163.1_C239_108|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01002751.1_C265_29|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|Dendroaspis_viridis_GHPC01002050|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|Dendroaspis_viridis_GHPC01002196|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01002119.1_C301_116|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01000122.1_C1190_987|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01000454.1_C275_21|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01000776.1_C544_326|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01000912.1_C482_285|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01001280.1_C467_210|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01001446.1_C417_214|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01001450.1_C441_235|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01001497.1_C400_161|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01001754.1_C391_149|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01001797.1_C357_163|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01002655.1_C305_51|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01002805.1_C272_78|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01003084.1_C271_53|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
NCBI|DENVI_GHPC01003265.1_C223_17|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
SP|P01405|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
SP|P01418|Dendroaspis_viridis,Elapidae,Elapidae,Dendroaspis,Dendroaspis viridis,mature_seq (NO_SP),
TR|R4G2F6|Denisonia_devisi,Elapidae,Elapidae,Denisonia,Denisonia devisi,full_seq (SP),
TR|R4G2T5|Denisonia_devisi,Elapidae,Elapidae,Denisonia,Denisonia devisi,full_seq (SP),
TR|R4G7G5|Denisonia_devisi,Elapidae,Elapidae,Denisonia,Denisonia devisi,full_seq (SP),
SP|F8J2B3|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
SP|F8J2D7|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
SP|F8J2E1|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
SP|F8J2E2|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
SP|F8J2E5|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
SP|F8J2E6|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
SP|F8J2F2|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
TR|F8J2D8|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
TR|F8J2D9|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
TR|F8J2E7|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
TR|F8J2E9|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
TR|F8J2F0|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
TR|F8J2F1|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
TR|F8J2D6|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
TR|F8J2E3|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
TR|F8J2E8|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
TR|F8J2G7|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
SP|F8J2G3|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
SP|F8J2G5|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
TR|F8QZ63|Drysdalia_coronoides,Elapidae,Elapidae,Drysdalia,Drysdalia coronoides,full_seq (SP),
TR|R4FJQ3|Echiopsis_curta,Elapidae,Elapidae,Echiopsis,Echiopsis curta,full_seq (SP),
TR|R4G2U8|Echiopsis_curta,Elapidae,Elapidae,Echiopsis,Echiopsis curta,full_seq (SP),
TR|R4G7H1|Echiopsis_curta,Elapidae,Elapidae,Echiopsis,Echiopsis curta,full_seq (SP),
TR|R4G2G8|Furina_ornata,Elapidae,Elapidae,Furina,Furina ornata,full_seq (SP),
TR|R4G2G9|Furina_ornata,Elapidae,Elapidae,Furina,Furina ornata,full_seq (SP),
TR|R4G2W0|Furina_ornata,Elapidae,Elapidae,Furina,Furina ornata,full_seq (SP),
TR|R4FJR7|Furina_ornata,Elapidae,Elapidae,Furina,Furina ornata,full_seq (SP),
TR|R4G2G6|Furina_ornata,Elapidae,Elapidae,Furina,Furina ornata,full_seq (SP),
TR|R4G2G7|Furina_ornata,Elapidae,Elapidae,Furina,Furina ornata,full_seq (SP),
TR|R4G7H5|Furina_ornata,Elapidae,Elapidae,Furina,Furina ornata,full_seq (SP),
SP|P01402|Hemachatus_haemachatus,Elapidae,Elapidae,Hemachatus,Hemachatus haemachatus,mature_seq (NO_SP),
SP|B3EWH9|Hemachatus_haemachatus,Elapidae,Elapidae,Hemachatus,Hemachatus haemachatus,mature_seq (NO_SP),
SP|C0HJT5|Hemachatus_haemachatus,Elapidae,Elapidae,Hemachatus,Hemachatus haemachatus,mature_seq (NO_SP),
SP|P01425|Hemachatus_haemachatus,Elapidae,Elapidae,Hemachatus,Hemachatus haemachatus,mature_seq (NO_SP),
SP|P01433|Hemachatus_haemachatus,Elapidae,Elapidae,Hemachatus,Hemachatus haemachatus,mature_seq (NO_SP),
SP|P01471|Hemachatus_haemachatus,Elapidae,Elapidae,Hemachatus,Hemachatus haemachatus,mature_seq (NO_SP),
SP|P0DQH2|Hemachatus_haemachatus,Elapidae,Elapidae,Hemachatus,Hemachatus haemachatus,mature_seq (NO_SP),
SP|P24776|Hemachatus_haemachatus,Elapidae,Elapidae,Hemachatus,Hemachatus haemachatus,mature_seq (NO_SP),
SP|P24777|Hemachatus_haemachatus,Elapidae,Elapidae,Hemachatus,Hemachatus haemachatus,mature_seq (NO_SP),
SP|P24778|Hemachatus_haemachatus,Elapidae,Elapidae,Hemachatus,Hemachatus haemachatus,mature_seq (NO_SP),
SP|P25676|Hemachatus_haemachatus,Elapidae,Elapidae,Hemachatus,Hemachatus haemachatus,mature_seq (NO_SP),
TR|R4FJX3|Hemiaspis_signata,Elapidae,Elapidae,Hemiaspis,Hemiaspis signata,full_seq (SP),
TR|R4G2H7|Hemiaspis_signata,Elapidae,Elapidae,Hemiaspis,Hemiaspis signata,full_seq (SP),
TR|R4G7I7|Hemiaspis_signata,Elapidae,Elapidae,Hemiaspis,Hemiaspis signata,full_seq (SP),
TR|R4G2H6|Hemiaspis_signata,Elapidae,Elapidae,Hemiaspis,Hemiaspis signata,full_seq (SP),
TR|R4G7I5|Hemiaspis_signata,Elapidae,Elapidae,Hemiaspis,Hemiaspis signata,full_seq (SP),
TR|R4FIQ0|Hoplocephalus_bungaroides,Elapidae,Elapidae,Hoplocephalus,Hoplocephalus bungaroides,full_seq (SP),
TR|R4FK28|Hoplocephalus_bungaroides,Elapidae,Elapidae,Hoplocephalus,Hoplocephalus bungaroides,full_seq (SP),
TR|R4FIP4|Hoplocephalus_bungaroides,Elapidae,Elapidae,Hoplocephalus,Hoplocephalus bungaroides,full_seq (SP),
SP|A8HDJ9|Hoplocephalus_stephensii,Elapidae,Elapidae,Hoplocephalus,Hoplocephalus stephensii,full_seq (SP),
None|Hcur_superscaf_587_797385_795811|Hydrophis_curtus,Elapidae,Elapidae,Hydrophis,Hydrophis curtus,full_seq (SP),
None|Hcur_SS00042983_m1|Hydrophis_curtus,Elapidae,Elapidae,Hydrophis,Hydrophis curtus,full_seq (SP),
SP|P25494|Hydrophis_cyanocinctus,Elapidae,Elapidae,Hydrophis,Hydrophis cyanocinctus,mature_seq (NO_SP),
SP|P62376|Hydrophis_cyanocinctus,Elapidae,Elapidae,Hydrophis,Hydrophis cyanocinctus,mature_seq (NO_SP),
SP|Q8UW28|Hydrophis_hardwickii,Elapidae,Elapidae,Hydrophis,Hydrophis hardwickii,full_seq (SP),
SP|Q8UW29|Hydrophis_hardwickii,Elapidae,Elapidae,Hydrophis,Hydrophis hardwickii,full_seq (SP),
SP|Q8UW27|Hydrophis_hardwickii,Elapidae,Elapidae,Hydrophis,Hydrophis hardwickii,full_seq (SP),
SP|P01437|Hydrophis_lapemoides,Elapidae,Elapidae,Hydrophis,Hydrophis lapemoides,mature_seq (NO_SP),
SP|P68413|Hydrophis_ornatus,Elapidae,Elapidae,Hydrophis,Hydrophis ornatus,mature_seq (NO_SP),
SP|P68415|Hydrophis_schistosus,Elapidae,Elapidae,Hydrophis,Hydrophis schistosus,mature_seq (NO_SP),
SP|P01380|Hydrophis_stokesii,Elapidae,Elapidae,Hydrophis,Hydrophis stokesii,mature_seq (NO_SP),
SP|P01381|Hydrophis_stokesii,Elapidae,Elapidae,Hydrophis,Hydrophis stokesii,mature_seq (NO_SP),
SP|P0C8R6|Laticauda_colubrina,Elapidae,Elapidae,Laticauda,Laticauda colubrina,mature_seq (NO_SP),
SP|P0C8R7|Laticauda_colubrina,Elapidae,Elapidae,Laticauda,Laticauda colubrina,mature_seq (NO_SP),
SP|P0C8R8|Laticauda_colubrina,Elapidae,Elapidae,Laticauda,Laticauda colubrina,mature_seq (NO_SP),
SP|P10455|Laticauda_colubrina,Elapidae,Elapidae,Laticauda,Laticauda colubrina,full_seq (SP),
SP|P10456|Laticauda_colubrina,Elapidae,Elapidae,Laticauda,Laticauda colubrina,full_seq (SP),
SP|P10457|Laticauda_colubrina,Elapidae,Elapidae,Laticauda,Laticauda colubrina,full_seq (SP),
SP|Q9YGC7|Laticauda_colubrina,Elapidae,Elapidae,Laticauda,Laticauda colubrina,full_seq (SP),
SP|P10458|Laticauda_crockeri,Elapidae,Elapidae,Laticauda,Laticauda crockeri,mature_seq (NO_SP),
SP|P25495|Laticauda_crockeri,Elapidae,Elapidae,Laticauda,Laticauda crockeri,mature_seq (NO_SP),
SP|P25496|Laticauda_crockeri,Elapidae,Elapidae,Laticauda,Laticauda crockeri,mature_seq (NO_SP),
SP|P10459|Laticauda_laticaudata,Elapidae,Elapidae,Laticauda,Laticauda laticaudata,full_seq (SP),
SP|P10460|Laticauda_laticaudata,Elapidae,Elapidae,Laticauda,Laticauda laticaudata,mature_seq (NO_SP),
SP|Q9YGC2|Laticauda_laticaudata,Elapidae,Elapidae,Laticauda,Laticauda laticaudata,full_seq (SP),
SP|Q9YGC4|Laticauda_laticaudata,Elapidae,Elapidae,Laticauda,Laticauda laticaudata,full_seq (SP),
SP|Q9YGW8|Laticauda_laticaudata,Elapidae,Elapidae,Laticauda,Laticauda laticaudata,full_seq (SP),
SP|Q9YGW9|Laticauda_laticaudata,Elapidae,Elapidae,Laticauda,Laticauda laticaudata,full_seq (SP),
SP|P01379|Laticauda_semifasciata,Elapidae,Elapidae,Laticauda,Laticauda semifasciata,mature_seq (NO_SP),
SP|P60775|Laticauda_semifasciata,Elapidae,Elapidae,Laticauda,Laticauda semifasciata,full_seq (SP),
SP|Q7T2I5|Laticauda_semifasciata,Elapidae,Elapidae,Laticauda,Laticauda semifasciata,full_seq (SP),
SP|Q90VW1|Laticauda_semifasciata,Elapidae,Elapidae,Laticauda,Laticauda semifasciata,full_seq (SP),
SP|Q9YGX1|Laticauda_semifasciata,Elapidae,Elapidae,Laticauda,Laticauda semifasciata,full_seq (SP),
TR|A0A024AXD8|Micropechis_ikaheca,Elapidae,Elapidae,Micropechis,Micropechis ikaheca,full_seq (SP),
TR|A0A024AXH2|Micropechis_ikaheca,Elapidae,Elapidae,Micropechis,Micropechis ikaheca,full_seq (SP),
TR|A0A024AXY1|Micropechis_ikaheca,Elapidae,Elapidae,Micropechis,Micropechis ikaheca,full_seq (SP),
TR|A0A024AYC2|Micropechis_ikaheca,Elapidae,Elapidae,Micropechis,Micropechis ikaheca,full_seq (SP),
TR|F5CPD4|Micrurus_altirostris,Elapidae,Elapidae,Micrurus,Micrurus altirostris,full_seq (SP),
NCBI|MICAL_JG743131.1_7_255|Micrurus_altirostris,Elapidae,Elapidae,Micrurus,Micrurus altirostris,mature_seq (NO_SP),
NCBI|MICAL_JG743827.1_16_264|Micrurus_altirostris,Elapidae,Elapidae,Micrurus,Micrurus altirostris,mature_seq (NO_SP),
NCBI|MICAL_JG744005.1_7_258|Micrurus_altirostris,Elapidae,Elapidae,Micrurus,Micrurus altirostris,mature_seq (NO_SP),
SP|F5CPD3|Micrurus_altirostris,Elapidae,Elapidae,Micrurus,Micrurus altirostris,full_seq (SP),
SP|F5CPD5|Micrurus_altirostris,Elapidae,Elapidae,Micrurus,Micrurus altirostris,full_seq (SP),
SP|F5CPD6|Micrurus_altirostris,Elapidae,Elapidae,Micrurus,Micrurus altirostris,full_seq (SP),
SP|F5CPD7|Micrurus_altirostris,Elapidae,Elapidae,Micrurus,Micrurus altirostris,full_seq (SP),
SP|F5CPD8|Micrurus_altirostris,Elapidae,Elapidae,Micrurus,Micrurus altirostris,full_seq (SP),
SP|F5CPD9|Micrurus_altirostris,Elapidae,Elapidae,Micrurus,Micrurus altirostris,full_seq (SP),
SP|F5CPE0|Micrurus_altirostris,Elapidae,Elapidae,Micrurus,Micrurus altirostris,full_seq (SP),
SP|F5CPE2|Micrurus_altirostris,Elapidae,Elapidae,Micrurus,Micrurus altirostris,full_seq (SP),
